Package Name,Version,Official Link,Creator,Creator Profile Link,Description
serialize-javascript,7.0.5,https://www.npmjs.com/package/serialize-javascript,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Serialize JavaScript to a superset of JSON that includes regular expressions and functions.
javascript-obfuscator,5.4.2,https://www.npmjs.com/package/javascript-obfuscator,sanex3339,https://www.npmjs.com/~sanex3339,JavaScript obfuscator
@lezer/javascript,1.5.4,https://www.npmjs.com/package/@lezer/javascript,marijn,https://www.npmjs.com/~marijn,lezer-based JavaScript grammar
@codemirror/lang-javascript,6.2.5,https://www.npmjs.com/package/@codemirror/lang-javascript,marijn,https://www.npmjs.com/~marijn,JavaScript language support for the CodeMirror code editor
@javascript-obfuscator/escodegen,2.4.1,https://www.npmjs.com/package/@javascript-obfuscator/escodegen,sanex3339,https://www.npmjs.com/~sanex3339,`escodegen` fork for `javascript-obfuscator`
tree-sitter-javascript,0.25.0,https://www.npmjs.com/package/tree-sitter-javascript,maxbrunsfeld,https://www.npmjs.com/~maxbrunsfeld,JavaScript grammar for tree-sitter
sa-sdk-javascript,1.27.11,https://www.npmjs.com/package/sa-sdk-javascript,riyue,https://www.npmjs.com/~riyue,official sensorsdata javascript sdk
js-tokens,10.0.0,https://www.npmjs.com/package/js-tokens,lydell,https://www.npmjs.com/~lydell,Tiny JavaScript tokenizer.
@babel/parser,7.29.2,https://www.npmjs.com/package/@babel/parser,GitHub Actions,https://www.npmjs.com/~GitHub Actions,A JavaScript parser
javascript-natural-sort,0.7.1,https://www.npmjs.com/package/javascript-natural-sort,kylehousley,https://www.npmjs.com/~kylehousley,Natural Sort algorithm for Javascript - Version 0.7 - Released under MIT license
@eslint/js,10.0.1,https://www.npmjs.com/package/@eslint/js,eslintbot,https://www.npmjs.com/~eslintbot,ESLint JavaScript language implementation
minimatch,10.2.5,https://www.npmjs.com/package/minimatch,isaacs,https://www.npmjs.com/~isaacs,a glob matcher in javascript
jest-cli,30.3.0,https://www.npmjs.com/package/jest-cli,cpojer,https://www.npmjs.com/~cpojer,Delightful JavaScript Testing.
jest,30.3.0,https://www.npmjs.com/package/jest,cpojer,https://www.npmjs.com/~cpojer,Delightful JavaScript Testing.
@types/serialize-javascript,5.0.4,https://www.npmjs.com/package/@types/serialize-javascript,types,https://www.npmjs.com/~types,TypeScript definitions for serialize-javascript
ejs,5.0.2,https://www.npmjs.com/package/ejs,mde,https://www.npmjs.com/~mde,Embedded JavaScript templates
pretty-format,30.3.0,https://www.npmjs.com/package/pretty-format,cpojer,https://www.npmjs.com/~cpojer,Stringify any JavaScript value.
sprintf-js,1.1.3,https://www.npmjs.com/package/sprintf-js,alexei,https://www.npmjs.com/~alexei,JavaScript sprintf implementation
three,0.184.0,https://www.npmjs.com/package/three,mrdoob,https://www.npmjs.com/~mrdoob,JavaScript 3D library
teleport-javascript,1.0.0,https://www.npmjs.com/package/teleport-javascript,codenirvana,https://www.npmjs.com/~codenirvana,"A super light and fast JavaScript object (de)serialization that includes date, bigint, regex, etc."
verror,1.10.1,https://www.npmjs.com/package/verror,bahamat,https://www.npmjs.com/~bahamat,richer JavaScript errors
@sinonjs/fake-timers,15.3.2,https://www.npmjs.com/package/@sinonjs/fake-timers,fatso83,https://www.npmjs.com/~fatso83,Fake JavaScript timers
@imagekit/javascript,5.3.0,https://www.npmjs.com/package/@imagekit/javascript,imagekit-developer,https://www.npmjs.com/~imagekit-developer,ImageKit Javascript SDK
@supabase/supabase-js,2.105.1,https://www.npmjs.com/package/@supabase/supabase-js,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Isomorphic Javascript SDK for Supabase
rxjs,7.8.2,https://www.npmjs.com/package/rxjs,blesh,https://www.npmjs.com/~blesh,Reactive Extensions for modern JavaScript
diff,9.0.0,https://www.npmjs.com/package/diff,explodingcabbage,https://www.npmjs.com/~explodingcabbage,A JavaScript text diff implementation.
html2canvas,1.4.1,https://www.npmjs.com/package/html2canvas,niklasvh,https://www.npmjs.com/~niklasvh,Screenshots with JavaScript
@flatfile/javascript,1.5.7,https://www.npmjs.com/package/@flatfile/javascript,bangarang,https://www.npmjs.com/~bangarang,Flatfile embedded with vanilla javascript.
